id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
4635807-3,4635807,6302469974,25897899,19.959451487557246,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0567009 43.5779439, 7.0567358 43.5779126, 7.0568216 43.5777882)"
4635807-4,4635807,25897899,25897919,76.29537367259341,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0568216 43.5777882, 7.0573518 43.5772916, 7.0574080 43.5772509)"
4635808-0,4635808,25897519,25897749,162.6440621240438,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0583755 43.5787876, 7.0588291 43.5786400, 7.0592500 43.5784977, 7.0591042 43.5782778, 7.0592687 43.5781846, 7.0597337 43.5780337)"
4635810-0,4635810,25897376,3481386504,50.234158497941486,Allowed,Tertiary,Tertiary,Allowed,Allowed,Forbidden,"LINESTRING(7.0498049 43.5797989, 7.0499064 43.5800391, 7.0499380 43.5801073, 7.0500110 43.5802240)"
4635810-1,4635810,3481386504,2939173060,146.3118202213816,Allowed,Tertiary,Tertiary,Allowed,Allowed,Forbidden,"LINESTRING(7.0500110 43.5802240, 7.0500271 43.5802498, 7.0500956 43.5803351, 7.0502003 43.5804252, 7.0503352 43.5805162, 7.0507812 43.5807305, 7.0509018 43.5808370, 7.0509405 43.5808871, 7.0509851 43.5809582, 7.0510096 43.5810302, 7.0510255 43.5811194, 7.0510260 43.5812304)"
4635810-2,4635810,2939173060,25897344,99.6755556102578,Allowed,Tertiary,Tertiary,Allowed,Allowed,Forbidden,"LINESTRING(7.0510260 43.5812304, 7.0509485 43.5816505, 7.0509027 43.5818028, 7.0507846 43.5819545, 7.0507703 43.5819988, 7.0507718 43.5820341, 7.0507818 43.5820667, 7.0507996 43.5820908)"
4635812-0,4635812,25897376,3476207433,87.67795582347931,Allowed,Tertiary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0498049 43.5797989, 7.0497307 43.5796839, 7.0496577 43.5795591, 7.0496014 43.5794977, 7.0495340 43.5794537, 7.0494716 43.5794234, 7.0493967 43.5793966, 7.0492140 43.5793677, 7.0491143 43.5793548, 7.0490332 43.5793352)"
4635813-0,4635813,25897396,3476207429,45.571027057460185,Allowed,Tertiary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0487163 43.5789930, 7.0487775 43.5790571, 7.0488642 43.5791534, 7.0489125 43.5792013, 7.0489737 43.5792412, 7.0490351 43.5792662, 7.0490934 43.5792856)"
4635813-1,4635813,3476207429,25897376,91.48266613141533,Allowed,Tertiary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.0490934 43.5792856, 7.0492205 43.5793068, 7.0493641 43.5793253, 7.0494923 43.5793508, 7.0495933 43.5793971, 7.0496776 43.5794683, 7.0497245 43.5795383, 7.0497684 43.5796614, 7.0498049 43.5797989)"
4635816-0,4635816,247854004,5991582851,86.34107284138213,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0291092 43.5804236, 7.0292327 43.5803530, 7.0292683 43.5803186, 7.0292771 43.5802985, 7.0292863 43.5802777, 7.0293611 43.5800268, 7.0293890 43.5798975, 7.0294201 43.5797869, 7.0294487 43.5797145)"
